Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
244,2017,March 17 2017,East,First Round,7 South Carolina,93,10 Marquette,73,,+20,Greenville SC
245,2017,March 17 2017,East,First Round,11 USC,66,6 SMU,65,,+1,Tulsa OK
246,2017,March 17 2017,South,First Round,3 UCLA,97,14 Kent State,80,,+17,Sacramento CA
247,2017,March 17 2017,South,First Round,10 Wichita State,64,7 Dayton,58,,+6,Indianapolis IN
248,2017,March 16 2017,West,First Round,2 Arizona,100,15 North Dakota,82,,+18,Salt Lake City UT
249,2017,March 16 2017,South,First Round,4 Butler,76,13 Winthrop,64,,+12,Milwaukee WI
250,2017,March 16 2017,East,First Round,4 Florida,80,13 ETSU,65,,+15,Orlando FL
251,2017,March 16 2017,West,First Round,3 Florida State,86,14 Florida Gulf Coast,80,,+6,Orlando FL
252,2017,March 16 2017,West,First Round,1 Gonzaga,66,16 South Dakota State,46,,+20,Salt Lake City UT
253,2017,March 16 2017,Midwest,First Round,5 Iowa State,84,12 Nevada,73,,+11,Milwaukee WI
254,2017,March 16 2017,South,First Round,12 Middle Tennessee,81,5 Minnesota,72,,+9,Milwaukee WI
255,2017,March 16 2017,West,First Round,8 Northwestern,68,9 Vanderbilt,66,,+2,Salt Lake City UT
256,2017,March 16 2017,West,First Round,5 Notre Dame,60,12 Princeton,58,,+2,Buffalo NY
257,2017,March 16 2017,Midwest,First Round,4 Purdue,80,13 Vermont,70,,+10,Milwaukee WI
258,2017,March 16 2017,West,First Round,7 Saint Mary's,85,10 VCU,77,,+8,Salt Lake City UT
259,2017,March 16 2017,East,First Round,1 Villanova,76,16 Mount St. Mary's,56,,+20,Buffalo NY
260,2017,March 16 2017,East,First Round,5 Virginia,76,12 UNC Wilmington,71,,+5,Orlando FL
261,2017,March 16 2017,West,First Round,4 West Virginia,86,13 Bucknell,80,,+6,Buffalo NY
262,2017,March 16 2017,East,First Round,8 Wisconsin,84,9 Virginia Tech,74,,+10,Buffalo NY
263,2017,March 16 2017,West,First Round,11 Xavier,76,6 Maryland,65,,+11,Orlando FL
264,2017,March 15 2017,Midwest,First Four,16 UC-Davis,67,16 North Carolina Central,63,,+4,Dayton OH
265,2017,March 15 2017,East,First Four,11 USC,75,11 Providence,71,,+4,Dayton OH
266,2017,March 14 2017,South,First Four,11 Kansas State,95,11 Wake Forest,88,,+7,Dayton OH
267,2017,March 14 2017,East,First Four,16 Mount St. Mary's,67,16 New Orleans,66,,+1,Dayton OH
268,2016,April 4 2016,National,National Final,2 Villanova,77,1 UNC,74,,+3,Houston TX
269,2016,April 2 2016,National,National Semifinal,1 UNC,83,10 Syracuse,66,,+17,Houston TX
270,2016,April 2 2016,National,National Semifinal,2 Villanova,95,2 Oklahoma,51,,+44,Houston TX
271,2016,March 27 2016,East,Regional Final,1 UNC,88,6 Notre Dame,74,,+14,Philadelphia PA
272,2016,March 27 2016,Midwest,Regional Final,10 Syracuse,68,1 Virginia,62,,+6,Chicago IL
273,2016,March 26 2016,West,Regional Final,2 Oklahoma,80,1 Oregon,68,,+12,Anaheim CA
274,2016,March 26 2016,South,Regional Final,2 Villanova,64,1 Kansas,59,,+5,Louisville KY
275,2016,March 25 2016,East,Regional Semifinal,1 UNC,101,5 Indiana,86,,+15,Philadelphia PA
276,2016,March 25 2016,East,Regional Semifinal,6 Notre Dame,61,7 Wisconsin,56,,+5,Philadelphia PA
277,2016,March 25 2016,Midwest,Regional Semifinal,10 Syracuse,63,11 Gonzaga,60,,+3,Chicago IL
278,2016,March 25 2016,Midwest,Regional Semifinal,1 Virginia,84,4 Iowa State,71,,+13,Chicago IL
279,2016,March 24 2016,South,Regional Semifinal,1 Kansas,79,5 Maryland,63,,+16,Louisville KY
280,2016,March 24 2016,West,Regional Semifinal,2 Oklahoma,77,3 Texas A&M,63,,+14,Anaheim CA
281,2016,March 24 2016,West,Regional Semifinal,1 Oregon,82,4 Duke,68,,+14,Anaheim CA
282,2016,March 24 2016,South,Regional Semifinal,2 Villanova,92,3 Miami (FL),69,,+23,Louisville KY
283,2016,March 20 2016,South,Second Round,5 Maryland,73,13 Hawaii,60,,+13,Spokane WA
284,2016,March 20 2016,East,Second Round,6 Notre Dame,76,14 Stephen F. Austin,75,,+1,Brooklyn NY
285,2016,March 20 2016,West,Second Round,2 Oklahoma,85,10 VCU,81,,+4,Oklahoma City OK
286,2016,March 20 2016,West,Second Round,1 Oregon,69,8 St. Joseph's,64,,+5,Spokane WA
287,2016,March 20 2016,Midwest,Second Round,10 Syracuse,75,15 Middle Tennessee,50,,+25,St. Louis MO
288,2016,March 20 2016,West,Second Round,3 Texas A&M,92,11 Northern Iowa,88,2OT,+4,Oklahoma City OK
289,2016,March 20 2016,South,Second Round,2 Villanova,87,7 Iowa,68,,+19,Brooklyn NY
290,2016,March 20 2016,East,Second Round,7 Wisconsin,66,2 Xavier,63,,+3,St. Louis MO
291,2016,March 19 2016,West,Second Round,4 Duke,71,12 Yale,64,,+7,Providence RI
292,2016,March 19 2016,Midwest,Second Round,11 Gonzaga,82,3 Utah,59,,+23,Denver CO
293,2016,March 19 2016,East,Second Round,5 Indiana,73,4 Kentucky,67,,+6,Des Moines IA
294,2016,March 19 2016,Midwest,Second Round,4 Iowa State,78,12 Little Rock,61,,+17,Denver CO
295,2016,March 19 2016,South,Second Round,1 Kansas,73,9 UConn,61,,+12,Des Moines IA
296,2016,March 19 2016,South,Second Round,3 Miami (FL),65,11 Wichita State,57,,+8,Providence RI
297,2016,March 19 2016,East,Second Round,1 UNC,85,9 Providence,66,,+19,Raleigh NC
298,2016,March 19 2016,Midwest,Second Round,1 Virginia,77,9 Butler,69,,+8,Raleigh NC
299,2016,March 18 2016,South,First Round,13 Hawaii,77,4 California,66,,+11,Spokane WA
300,2016,March 18 2016,South,First Round,7 Iowa,72,10 Temple,70,OT,+2,Brooklyn NY
301,2016,March 18 2016,South,First Round,5 Maryland,79,12 South Dakota State,74,,+5,Spokane WA
302,2016,March 18 2016,Midwest,First Round,15 Middle Tennessee,90,2 Michigan State,81,,+9,St. Louis MO
303,2016,March 18 2016,West,First Round,11 Northern Iowa,75,6 Texas,72,,+3,Oklahoma City OK
304,2016,March 18 2016,East,First Round,6 Notre Dame,70,11 Michigan,63,,+7,Brooklyn NY
305,2016,March 18 2016,West,First Round,2 Oklahoma,82,15 Cal State Bakersfield,68,,+14,Oklahoma City OK
306,2016,March 18 2016,West,First Round,1 Oregon,91,16 Holy Cross,52,,+39,Spokane WA
307,2016,March 18 2016,West,First Round,8 St. Joseph's,78,9 Cincinnati,76,,+2,Spokane WA
308,2016,March 18 2016,East,First Round,14 Stephen F. Austin,70,3 West Virginia,56,,+14,Brooklyn NY
309,2016,March 18 2016,Midwest,First Round,10 Syracuse,70,7 Dayton,51,,+19,St. Louis MO
310,2016,March 18 2016,West,First Round,3 Texas A&M,92,14 Green Bay,65,,+27,Oklahoma City OK
311,2016,March 18 2016,South,First Round,2 Villanova,86,15 UNC Asheville,56,,+30,Brooklyn NY
312,2016,March 18 2016,West,First Round,10 VCU,75,7 Oregon State,67,,+8,Oklahoma City OK
313,2016,March 18 2016,East,First Round,7 Wisconsin,47,10 Pitt,43,,+4,St. Louis MO
314,2016,March 18 2016,East,First Round,2 Xavier,71,15 Weber State,53,,+18,St. Louis MO
315,2016,March 17 2016,Midwest,First Round,12 Little Rock,85,5 Purdue,83,2OT,+2,Denver CO
316,2016,March 17 2016,Midwest,First Round,9 Butler,71,8 Texas Tech,61,,+10,Raleigh NC
317,2016,March 17 2016,South,First Round,9 UConn,74,8 Colorado,67,,+7,Des Moines IA
318,2016,March 17 2016,West,First Round,4 Duke,93,13 UNC Wilmington,85,,+8,Providence RI
319,2016,March 17 2016,Midwest,First Round,11 Gonzaga,68,6 Seton Hall,52,,+16,Denver CO
320,2016,March 17 2016,East,First Round,5 Indiana,99,12 Chattanooga,74,,+25,Des Moines IA
321,2016,March 17 2016,Midwest,First Round,4 Iowa State,94,13 Iona,81,,+13,Denver CO
322,2016,March 17 2016,South,First Round,1 Kansas,105,16 Austin Peay,79,,+26,Des Moines IA
323,2016,March 17 2016,East,First Round,4 Kentucky,85,13 Stony Brook,57,,+28,Des Moines IA
324,2016,March 17 2016,South,First Round,3 Miami (FL),79,14 Buffalo,72,,+7,Providence RI
325,2016,March 17 2016,East,First Round,1 UNC,83,16 Florida Gulf Coast,67,,+16,Raleigh NC
326,2016,March 17 2016,East,First Round,9 Providence,70,8 USC,69,,+1,Raleigh NC
327,2016,March 17 2016,Midwest,First Round,3 Utah,80,14 Fresno State,69,,+11,Denver CO
328,2016,March 17 2016,Midwest,First Round,1 Virginia,81,16 Hampton,45,,+36,Raleigh NC
329,2016,March 17 2016,South,First Round,11 Wichita State,65,6 Arizona,55,,+10,Providence RI
330,2016,March 17 2016,West,First Round,12 Yale,79,5 Baylor,75,,+4,Providence RI
331,2016,March 16 2016,West,First Four,16 Holy Cross,59,16 Southern,55,,+4,Dayton OH
332,2016,March 16 2016,East,First Four,11 Michigan,67,11 Tulsa,62,,+5,Dayton OH
333,2016,March 15 2016,East,First Four,16 Florida Gulf Coast,96,16 Fairleigh Dickinson,65,,+31,Dayton OH
334,2016,March 15 2016,South,First Four,11 Wichita State,70,11 Vanderbilt,50,,+20,Dayton OH
335,2015,April 6 2015,National,National Final,1 Duke,68,1 Wisconsin,63,,+5,Indianapolis IN
336,2015,April 4 2015,National,National Semifinal,1 Duke,81,7 Michigan State,61,,+20,Indianapolis IN
337,2015,April 4 2015,National,National Semifinal,1 Wisconsin,71,1 Kentucky,64,,+7,Indianapolis IN
338,2015,March 29 2015,South,Regional Final,1 Duke,66,2 Gonzaga,52,,+14,Houston TX
339,2015,March 29 2015,East,Regional Final,7 Michigan State,76,4 Louisville,70,OT,+6,Syracuse NY
340,2015,March 28 2015,Midwest,Regional Final,1 Kentucky,68,3 Notre Dame,66,,+2,Cleveland OH
341,2015,March 28 2015,West,Regional Final,1 Wisconsin,85,2 Arizona,78,,+7,Los Angeles CA
342,2015,March 27 2015,South,Regional Semifinal,1 Duke,63,5 Utah,57,,+6,Houston TX
343,2015,March 27 2015,South,Regional Semifinal,2 Gonzaga,74,11 UCLA,62,,+12,Houston TX
344,2015,March 27 2015,East,Regional Semifinal,4 Louisville,75,8 NC State,65,,+10,Syracuse NY
345,2015,March 27 2015,East,Regional Semifinal,7 Michigan State,62,3 Oklahoma,58,,+4,Syracuse NY
346,2015,March 26 2015,West,Regional Semifinal,2 Arizona,68,6 Xavier,60,,+8,Los Angeles CA
347,2015,March 26 2015,Midwest,Regional Semifinal,1 Kentucky,78,5 West Virginia,39,,+39,Cleveland OH
348,2015,March 26 2015,Midwest,Regional Semifinal,3 Notre Dame,81,7 Wichita State,70,,+11,Cleveland OH
349,2015,March 26 2015,West,Regional Semifinal,1 Wisconsin,79,4 UNC,72,,+7,Los Angeles CA
350,2015,March 22 2015,South,Third Round,1 Duke,68,8 San Diego State,49,,+19,Charlotte NC
351,2015,March 22 2015,South,Third Round,2 Gonzaga,87,7 Iowa,68,,+19,Seattle WA
352,2015,March 22 2015,East,Third Round,4 Louisville,66,5 Northern Iowa,53,,+13,Seattle WA
353,2015,March 22 2015,East,Third Round,7 Michigan State,60,2 Virginia,54,,+6,Charlotte NC
354,2015,March 22 2015,East,Third Round,3 Oklahoma,72,11 Dayton,66,,+6,Columbus OH
355,2015,March 22 2015,Midwest,Third Round,5 West Virginia,69,4 Maryland,59,,+10,Columbus OH
356,2015,March 22 2015,Midwest,Third Round,7 Wichita State,78,2 Kansas,65,,+13,Omaha NE
357,2015,March 22 2015,West,Third Round,1 Wisconsin,72,8 Oregon,65,,+7,Omaha NE
358,2015,March 21 2015,West,Third Round,2 Arizona,73,10 Ohio State,58,,+15,Portland OR
359,2015,March 21 2015,Midwest,Third Round,1 Kentucky,64,8 Cincinnati,51,,+13,Louisville KY
360,2015,March 21 2015,West,Third Round,4 UNC,87,5 Arkansas,78,,+9,Jacksonville FL
361,2015,March 21 2015,East,Third Round,8 NC State,71,1 Villanova,68,,+3,Pittsburgh PA
362,2015,March 21 2015,Midwest,Third Round,3 Notre Dame,67,6 Butler,64,OT,+3,Pittsburgh PA
363,2015,March 21 2015,South,Third Round,11 UCLA,92,14 Alabama-Birmingham,75,,+17,Louisville KY
364,2015,March 21 2015,South,Third Round,5 Utah,75,4 Georgetown,64,,+11,Portland OR
365,2015,March 21 2015,West,Third Round,6 Xavier,75,14 Georgia State,67,,+8,Jacksonville FL
366,2015,March 20 2015,East,Second Round,11 Dayton,66,6 Providence,53,,+13,Columbus OH
367,2015,March 20 2015,South,Second Round,1 Duke,85,16 Robert Morris,56,,+29,Charlotte NC
368,2015,March 20 2015,South,Second Round,2 Gonzaga,86,15 North Dakota State,76,,+10,Seattle WA
369,2015,March 20 2015,South,Second Round,7 Iowa,83,10 Davidson,52,,+31,Seattle WA
370,2015,March 20 2015,Midwest,Second Round,2 Kansas,75,15 New Mexico State,56,,+19,Omaha NE
371,2015,March 20 2015,East,Second Round,4 Louisville,57,13 UC-Irvine,55,,+2,Seattle WA
372,2015,March 20 2015,Midwest,Second Round,4 Maryland,65,13 Valparaiso,62,,+3,Columbus OH
373,2015,March 20 2015,East,Second Round,7 Michigan State,70,10 Georgia,63,,+7,Charlotte NC
374,2015,March 20 2015,East,Second Round,5 Northern Iowa,71,12 Wyoming,54,,+17,Seattle WA
375,2015,March 20 2015,East,Second Round,3 Oklahoma,69,14 Albany (NY),60,,+9,Columbus OH
376,2015,March 20 2015,West,Second Round,8 Oregon,79,9 Oklahoma State,73,,+6,Omaha NE
377,2015,March 20 2015,South,Second Round,8 San Diego State,76,9 St. John's (NY),64,,+12,Charlotte NC
378,2015,March 20 2015,East,Second Round,2 Virginia,79,15 Belmont,67,,+12,Charlotte NC
379,2015,March 20 2015,Midwest,Second Round,5 West Virginia,68,12 Buffalo,62,,+6,Columbus OH
380,2015,March 20 2015,Midwest,Second Round,7 Wichita State,81,10 Indiana,76,,+5,Omaha NE
381,2015,March 20 2015,West,Second Round,1 Wisconsin,86,16 Coastal Carolina,72,,+14,Omaha NE
382,2015,March 19 2015,South,Second Round,14 Alabama-Birmingham,60,3 Iowa State,59,,+1,Louisville KY
383,2015,March 19 2015,West,Second Round,2 Arizona,93,15 Texas Southern,72,,+21,Portland OR
384,2015,March 19 2015,West,Second Round,5 Arkansas,56,12 Wofford,53,,+3,Jacksonville FL
385,2015,March 19 2015,Midwest,Second Round,6 Butler,56,11 Texas,48,,+8,Pittsburgh PA
386,2015,March 19 2015,Midwest,Second Round,8 Cincinnati,66,9 Purdue,65,OT,+1,Louisville KY
387,2015,March 19 2015,South,Second Round,4 Georgetown,84,13 Eastern Washington,74,,+10,Portland OR
388,2015,March 19 2015,West,Second Round,14 Georgia State,57,3 Baylor,56,,+1,Jacksonville FL
389,2015,March 19 2015,Midwest,Second Round,1 Kentucky,79,16 Hampton,56,,+23,Louisville KY
390,2015,March 19 2015,West,Second Round,4 UNC,67,13 Harvard,65,,+2,Jacksonville FL
391,2015,March 19 2015,East,Second Round,8 NC State,66,9 LSU,65,,+1,Pittsburgh PA
392,2015,March 19 2015,Midwest,Second Round,3 Notre Dame,69,14 Northeastern,65,,+4,Pittsburgh PA
393,2015,March 19 2015,West,Second Round,10 Ohio State,75,7 VCU,72,OT,+3,Portland OR
394,2015,March 19 2015,South,Second Round,11 UCLA,60,6 SMU,59,,+1,Louisville KY
395,2015,March 19 2015,South,Second Round,5 Utah,57,12 Stephen F. Austin,50,,+7,Portland OR
396,2015,March 19 2015,East,Second Round,1 Villanova,93,16 Lafayette,52,,+41,Pittsburgh PA
397,2015,March 19 2015,West,Second Round,6 Xavier,76,11 Ole Miss,57,,+19,Jacksonville FL
398,2015,March 18 2015,East,First Round,11 Dayton,56,11 Boise State,55,,+1,Dayton OH
399,2015,March 18 2015,South,First Round,16 Robert Morris,81,16 North Florida,77,,+4,Dayton OH
400,2015,March 17 2015,Midwest,First Round,16 Hampton,74,16 Manhattan,64,,+10,Dayton OH
401,2015,March 17 2015,West,First Round,11 Ole Miss,94,11 BYU,90,,+4,Dayton OH
402,2014,April 7 2014,National,National Final,7 UConn,60,8 Kentucky,54,,+6,Arlington TX
403,2014,April 5 2014,National,National Semifinal,7 UConn,63,1 Florida,53,,+10,Arlington TX
404,2014,April 5 2014,National,National Semifinal,8 Kentucky,74,2 Wisconsin,73,,+1,Arlington TX
405,2014,March 30 2014,East,Regional Final,7 UConn,60,4 Michigan State,54,,+6,New York NY
406,2014,March 30 2014,Midwest,Regional Final,8 Kentucky,75,2 Michigan,72,,+3,Indianapolis IN
407,2014,March 29 2014,South,Regional Final,1 Florida,62,11 Dayton,52,,+10,Memphis TN
408,2014,March 29 2014,West,Regional Final,2 Wisconsin,64,1 Arizona,63,OT,+1,Anaheim CA
409,2014,March 28 2014,East,Regional Semifinal,7 UConn,81,3 Iowa State,76,,+5,New York NY
410,2014,March 28 2014,Midwest,Regional Semifinal,8 Kentucky,74,4 Louisville,69,,+5,Indianapolis IN
411,2014,March 28 2014,Midwest,Regional Semifinal,2 Michigan,73,11 Tennessee,71,,+2,Indianapolis IN
412,2014,March 28 2014,East,Regional Semifinal,4 Michigan State,61,1 Virginia,59,,+2,New York NY
413,2014,March 27 2014,West,Regional Semifinal,1 Arizona,70,4 San Diego State,64,,+6,Anaheim CA
414,2014,March 27 2014,South,Regional Semifinal,11 Dayton,82,10 Stanford,72,,+10,Memphis TN
415,2014,March 27 2014,South,Regional Semifinal,1 Florida,79,4 UCLA,68,,+11,Memphis TN
416,2014,March 27 2014,West,Regional Semifinal,2 Wisconsin,69,6 Baylor,52,,+17,Anaheim CA
417,2014,March 23 2014,West,Third Round,1 Arizona,84,8 Gonzaga,61,,+23,San Diego CA
418,2014,March 23 2014,West,Third Round,6 Baylor,85,3 Creighton,55,,+30,San Antonio TX
419,2014,March 23 2014,East,Third Round,3 Iowa State,85,6 UNC,83,,+2,San Antonio TX
420,2014,March 23 2014,Midwest,Third Round,8 Kentucky,78,1 Wichita State,76,,+2,St. Louis MO
421,2014,March 23 2014,South,Third Round,10 Stanford,60,2 Kansas,57,,+3,St. Louis MO
422,2014,March 23 2014,Midwest,Third Round,11 Tennessee,83,14 Mercer,63,,+20,Raleigh NC
423,2014,March 23 2014,South,Third Round,4 UCLA,77,12 Stephen F. Austin,60,,+17,San Diego CA
424,2014,March 23 2014,East,Third Round,1 Virginia,78,8 Memphis,60,,+18,Raleigh NC
425,2014,March 22 2014,East,Third Round,7 UConn,77,2 Villanova,65,,+12,Buffalo NY
426,2014,March 22 2014,South,Third Round,11 Dayton,55,3 Syracuse,53,,+2,Buffalo NY
427,2014,March 22 2014,South,Third Round,1 Florida,61,9 Pitt,45,,+16,Orlando FL
428,2014,March 22 2014,Midwest,Third Round,4 Louisville,66,5 Saint Louis,51,,+15,Orlando FL
429,2014,March 22 2014,Midwest,Third Round,2 Michigan,79,7 Texas,65,,+14,Milwaukee WI
430,2014,March 22 2014,East,Third Round,4 Michigan State,80,12 Harvard,73,,+7,Spokane WA
431,2014,March 22 2014,West,Third Round,4 San Diego State,63,12 North Dakota State,44,,+19,Spokane WA
432,2014,March 22 2014,West,Third Round,2 Wisconsin,85,7 Oregon,77,,+8,Milwaukee WI
433,2014,March 21 2014,West,Second Round,1 Arizona,68,16 Weber State,59,,+9,San Diego CA
434,2014,March 21 2014,West,Second Round,6 Baylor,74,11 Nebraska,60,,+14,San Antonio TX
435,2014,March 21 2014,West,Second Round,3 Creighton,76,14 Louisiana,66,,+10,San Antonio TX
436,2014,March 21 2014,West,Second Round,8 Gonzaga,85,9 Oklahoma State,77,,+8,San Diego CA
437,2014,March 21 2014,East,Second Round,3 Iowa State,93,14 North Carolina Central,75,,+18,San Antonio TX
438,2014,March 21 2014,South,Second Round,2 Kansas,80,15 Eastern Kentucky,69,,+11,St. Louis MO
439,2014,March 21 2014,Midwest,Second Round,8 Kentucky,56,9 Kansas State,49,,+7,St. Louis MO
440,2014,March 21 2014,East,Second Round,8 Memphis,71,9 George Washington,66,,+5,Raleigh NC
441,2014,March 21 2014,Midwest,Second Round,14 Mercer,78,3 Duke,71,,+7,Raleigh NC
442,2014,March 21 2014,East,Second Round,6 UNC,79,11 Providence,77,,+2,San Antonio TX
443,2014,March 21 2014,South,Second Round,10 Stanford,58,7 New Mexico,53,,+5,St. Louis MO
444,2014,March 21 2014,South,Second Round,12 Stephen F. Austin,77,5 VCU,75,OT,+2,San Diego CA
445,2014,March 21 2014,Midwest,Second Round,11 Tennessee,86,6 UMass,67,,+19,Raleigh NC
446,2014,March 21 2014,South,Second Round,4 UCLA,76,13 Tulsa,59,,+17,San Diego CA
447,2014,March 21 2014,East,Second Round,1 Virginia,70,16 Coastal Carolina,59,,+11,Raleigh NC
448,2014,March 21 2014,Midwest,Second Round,1 Wichita State,64,16 Cal Poly,37,,+27,St. Louis MO
449,2014,March 20 2014,East,Second Round,7 UConn,89,10 St. Joseph's,81,OT,+8,Buffalo NY
450,2014,March 20 2014,South,Second Round,11 Dayton,60,6 Ohio State,59,,+1,Buffalo NY
451,2014,March 20 2014,South,Second Round,1 Florida,67,16 Albany (NY),55,,+12,Orlando FL
452,2014,March 20 2014,East,Second Round,12 Harvard,61,5 Cincinnati,57,,+4,Spokane WA
453,2014,March 20 2014,Midwest,Second Round,4 Louisville,71,13 Manhattan,64,,+7,Orlando FL
454,2014,March 20 2014,Midwest,Second Round,2 Michigan,57,15 Wofford,40,,+17,Milwaukee WI
455,2014,March 20 2014,East,Second Round,4 Michigan State,93,13 Delaware,78,,+15,Spokane WA
456,2014,March 20 2014,West,Second Round,12 North Dakota State,80,5 Oklahoma,75,OT,+5,Spokane WA
457,2014,March 20 2014,West,Second Round,7 Oregon,87,10 BYU,68,,+19,Milwaukee WI
458,2014,March 20 2014,South,Second Round,9 Pitt,77,8 Colorado,48,,+29,Orlando FL
459,2014,March 20 2014,Midwest,Second Round,5 Saint Louis,83,12 NC State,80,OT,+3,Orlando FL
460,2014,March 20 2014,West,Second Round,4 San Diego State,73,13 New Mexico State,69,OT,+4,Spokane WA
461,2014,March 20 2014,South,Second Round,3 Syracuse,77,14 Western Michigan,53,,+24,Buffalo NY
462,2014,March 20 2014,Midwest,Second Round,7 Texas,87,10 Arizona State,85,,+2,Milwaukee WI
463,2014,March 20 2014,East,Second Round,2 Villanova,73,15 Milwaukee,53,,+20,Buffalo NY
464,2014,March 20 2014,West,Second Round,2 Wisconsin,75,15 American,35,,+40,Milwaukee WI
465,2014,March 19 2014,Midwest,First Round,16 Cal Poly,81,16 Texas Southern,69,,+12,Dayton OH
466,2014,March 19 2014,Midwest,First Round,11 Tennessee,78,11 Iowa,65,OT,+13,Dayton OH
467,2014,March 18 2014,South,First Round,16 Albany (NY),71,16 Mount St. Mary's,64,,+7,Dayton OH
468,2014,March 18 2014,Midwest,First Round,12 NC State,74,12 Xavier,59,,+15,Dayton OH
469,2013,April 8 2013,National,National Final,1 Louisville,82,4 Michigan,76,,+6,Atlanta GA
470,2013,April 6 2013,National,National Semifinal,1 Louisville,72,9 Wichita State,68,,+4,Atlanta GA
471,2013,April 6 2013,National,National Semifinal,4 Michigan,61,4 Syracuse,56,,+5,Atlanta GA
472,2013,March 31 2013,Midwest,Regional Final,1 Louisville,85,2 Duke,63,,+22,Indianapolis IN
473,2013,March 31 2013,South,Regional Final,4 Michigan,79,3 Florida,59,,+20,Arlington TX
474,2013,March 30 2013,East,Regional Final,4 Syracuse,55,3 Marquette,39,,+16,Washington DC
475,2013,March 30 2013,West,Regional Final,9 Wichita State,70,2 Ohio State,66,,+4,Los Angeles CA
476,2013,March 29 2013,Midwest,Regional Semifinal,2 Duke,71,3 Michigan State,61,,+10,Indianapolis IN
477,2013,March 29 2013,South,Regional Semifinal,3 Florida,62,15 Florida Gulf Coast,50,,+12,Arlington TX
478,2013,March 29 2013,Midwest,Regional Semifinal,1 Louisville,77,12 Oregon,69,,+8,Indianapolis IN
479,2013,March 29 2013,South,Regional Semifinal,4 Michigan,87,1 Kansas,85,OT,+2,Arlington TX
480,2013,March 28 2013,East,Regional Semifinal,3 Marquette,71,2 Miami (FL),61,,+10,Washington DC
481,2013,March 28 2013,West,Regional Semifinal,2 Ohio State,73,6 Arizona,70,,+3,Los Angeles CA
482,2013,March 28 2013,East,Regional Semifinal,4 Syracuse,61,1 Indiana,50,,+11,Washington DC
483,2013,March 28 2013,West,Regional Semifinal,9 Wichita State,72,13 La Salle,58,,+14,Los Angeles CA
484,2013,March 24 2013,Midwest,Third Round,2 Duke,66,7 Creighton,50,,+16,Philadelphia PA
485,2013,March 24 2013,South,Third Round,3 Florida,78,11 Minnesota,64,,+14,Austin TX
486,2013,March 24 2013,South,Third Round,15 Florida Gulf Coast,81,7 San Diego State,71,,+10,Philadelphia PA
487,2013,March 24 2013,East,Third Round,1 Indiana,58,9 Temple,52,,+6,Dayton OH
