Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
488,2013,March 24 2013,South,Third Round,1 Kansas,70,8 UNC,58,,+12,Kansas City MO
489,2013,March 24 2013,West,Third Round,13 La Salle,76,12 Ole Miss,74,,+2,Kansas City MO
490,2013,March 24 2013,East,Third Round,2 Miami (FL),63,7 Illinois,59,,+4,Austin TX
491,2013,March 24 2013,West,Third Round,2 Ohio State,78,10 Iowa State,75,,+3,Dayton OH
492,2013,March 23 2013,West,Third Round,6 Arizona,74,14 Harvard,51,,+23,Salt Lake City UT
493,2013,March 23 2013,Midwest,Third Round,1 Louisville,82,8 Colorado State,56,,+26,Lexington KY
494,2013,March 23 2013,East,Third Round,3 Marquette,74,6 Butler,72,,+2,Lexington KY
495,2013,March 23 2013,South,Third Round,4 Michigan,78,5 VCU,53,,+25,Auburn Hills MI
496,2013,March 23 2013,Midwest,Third Round,3 Michigan State,70,6 Memphis,48,,+22,Auburn Hills MI
497,2013,March 23 2013,Midwest,Third Round,12 Oregon,74,4 Saint Louis,57,,+17,San Jose CA
498,2013,March 23 2013,East,Third Round,4 Syracuse,66,12 California,60,,+6,San Jose CA
499,2013,March 23 2013,West,Third Round,9 Wichita State,76,1 Gonzaga,70,,+6,Salt Lake City UT
500,2013,March 22 2013,Midwest,Second Round,7 Creighton,67,10 Cincinnati,63,,+4,Philadelphia PA
501,2013,March 22 2013,Midwest,Second Round,2 Duke,73,15 Albany (NY),61,,+12,Philadelphia PA
502,2013,March 22 2013,South,Second Round,3 Florida,79,14 Northwestern State,47,,+32,Austin TX
503,2013,March 22 2013,South,Second Round,15 Florida Gulf Coast,78,2 Georgetown,68,,+10,Philadelphia PA
504,2013,March 22 2013,East,Second Round,7 Illinois,57,10 Colorado,49,,+8,Austin TX
505,2013,March 22 2013,East,Second Round,1 Indiana,83,16 James Madison,62,,+21,Dayton OH
506,2013,March 22 2013,West,Second Round,10 Iowa State,76,7 Notre Dame,58,,+18,Dayton OH
507,2013,March 22 2013,South,Second Round,1 Kansas,64,16 Western Kentucky,57,,+7,Kansas City MO
508,2013,March 22 2013,West,Second Round,13 La Salle,63,4 Kansas State,61,,+2,Kansas City MO
509,2013,March 22 2013,East,Second Round,2 Miami (FL),78,15 Pacific,49,,+29,Austin TX
510,2013,March 22 2013,South,Second Round,11 Minnesota,83,6 UCLA,63,,+20,Austin TX
511,2013,March 22 2013,West,Second Round,12 Ole Miss,57,5 Wisconsin,46,,+11,Kansas City MO
512,2013,March 22 2013,South,Second Round,8 UNC,78,9 Villanova,71,,+7,Kansas City MO
513,2013,March 22 2013,West,Second Round,2 Ohio State,95,15 Iona,70,,+25,Dayton OH
514,2013,March 22 2013,South,Second Round,7 San Diego State,70,10 Oklahoma,55,,+15,Philadelphia PA
515,2013,March 22 2013,East,Second Round,9 Temple,76,8 NC State,72,,+4,Dayton OH
516,2013,March 21 2013,West,Second Round,6 Arizona,81,11 Belmont,64,,+17,Salt Lake City UT
517,2013,March 21 2013,East,Second Round,6 Butler,68,11 Bucknell,56,,+12,Lexington KY
518,2013,March 21 2013,East,Second Round,12 California,64,5 UNLV,61,,+3,San Jose CA
519,2013,March 21 2013,Midwest,Second Round,8 Colorado State,84,9 Missouri,72,,+12,Lexington KY
520,2013,March 21 2013,West,Second Round,1 Gonzaga,64,16 Southern,58,,+6,Salt Lake City UT
521,2013,March 21 2013,West,Second Round,14 Harvard,68,3 New Mexico,62,,+6,Salt Lake City UT
522,2013,March 21 2013,Midwest,Second Round,1 Louisville,79,16 North Carolina A&T,48,,+31,Lexington KY
523,2013,March 21 2013,East,Second Round,3 Marquette,59,14 Davidson,58,,+1,Lexington KY
524,2013,March 21 2013,Midwest,Second Round,6 Memphis,54,11 Saint Mary's,52,,+2,Auburn Hills MI
525,2013,March 21 2013,South,Second Round,4 Michigan,71,13 South Dakota State,56,,+15,Auburn Hills MI
526,2013,March 21 2013,Midwest,Second Round,3 Michigan State,65,14 Valparaiso,54,,+11,Auburn Hills MI
527,2013,March 21 2013,Midwest,Second Round,12 Oregon,68,5 Oklahoma State,55,,+13,San Jose CA
528,2013,March 21 2013,Midwest,Second Round,4 Saint Louis,64,13 New Mexico State,44,,+20,San Jose CA
529,2013,March 21 2013,East,Second Round,4 Syracuse,81,13 Montana,34,,+47,San Jose CA
530,2013,March 21 2013,South,Second Round,5 VCU,88,12 Akron,42,,+46,Auburn Hills MI
531,2013,March 21 2013,West,Second Round,9 Wichita State,73,8 Pitt,55,,+18,Salt Lake City UT
532,2013,March 20 2013,East,First Round,16 James Madison,68,16 LIU,55,,+13,Dayton OH
533,2013,March 20 2013,West,First Round,13 La Salle,80,13 Boise State,71,,+9,Dayton OH
534,2013,March 19 2013,Midwest,First Round,16 North Carolina A&T,73,16 Liberty,72,,+1,Dayton OH
535,2013,March 19 2013,Midwest,First Round,11 Saint Mary's,67,11 Middle Tennessee,54,,+13,Dayton OH
536,2012,April 2 2012,National,National Final,1 Kentucky,67,2 Kansas,59,,+8,New Orleans LA
537,2012,March 31 2012,National,National Semifinal,2 Kansas,64,2 Ohio State,62,,+2,New Orleans LA
538,2012,March 31 2012,National,National Semifinal,1 Kentucky,69,4 Louisville,61,,+8,New Orleans LA
539,2012,March 25 2012,Midwest,Regional Final,2 Kansas,80,1 UNC,67,,+13,St. Louis MO
540,2012,March 25 2012,South,Regional Final,1 Kentucky,82,3 Baylor,70,,+12,Atlanta GA
541,2012,March 24 2012,West,Regional Final,4 Louisville,72,7 Florida,68,,+4,Phoenix AZ
542,2012,March 24 2012,East,Regional Final,2 Ohio State,77,1 Syracuse,70,,+7,Boston MA
543,2012,March 23 2012,South,Regional Semifinal,3 Baylor,75,10 Xavier,70,,+5,Atlanta GA
544,2012,March 23 2012,Midwest,Regional Semifinal,2 Kansas,60,11 NC State,57,,+3,St. Louis MO
545,2012,March 23 2012,South,Regional Semifinal,1 Kentucky,102,4 Indiana,90,,+12,Atlanta GA
546,2012,March 23 2012,Midwest,Regional Semifinal,1 UNC,73,13 Ohio,65,OT,+8,St. Louis MO
547,2012,March 22 2012,West,Regional Semifinal,7 Florida,68,3 Marquette,58,,+10,Phoenix AZ
548,2012,March 22 2012,West,Regional Semifinal,4 Louisville,57,1 Michigan State,44,,+13,Phoenix AZ
549,2012,March 22 2012,East,Regional Semifinal,2 Ohio State,81,6 Cincinnati,66,,+15,Boston MA
550,2012,March 22 2012,East,Regional Semifinal,1 Syracuse,64,4 Wisconsin,63,,+1,Boston MA
551,2012,March 18 2012,East,Third Round,6 Cincinnati,62,3 Florida State,56,,+6,Nashville TN
552,2012,March 18 2012,West,Third Round,7 Florida,84,15 Norfolk State,50,,+34,Omaha NE
553,2012,March 18 2012,Midwest,Third Round,2 Kansas,63,10 Purdue,60,,+3,Omaha NE
554,2012,March 18 2012,West,Third Round,1 Michigan State,65,9 Saint Louis,61,,+4,Columbus OH
555,2012,March 18 2012,Midwest,Third Round,1 UNC,87,8 Creighton,73,,+14,Greensboro NC
556,2012,March 18 2012,Midwest,Third Round,11 NC State,66,3 Georgetown,63,,+3,Columbus OH
557,2012,March 18 2012,Midwest,Third Round,13 Ohio,62,12 South Florida,56,,+6,Nashville TN
558,2012,March 18 2012,South,Third Round,10 Xavier,70,15 Lehigh,58,,+12,Greensboro NC
559,2012,March 17 2012,South,Third Round,3 Baylor,80,11 Colorado,63,,+17,The Pit Al
560,2012,March 17 2012,South,Third Round,4 Indiana,63,12 VCU,61,,+2,Portland OR
561,2012,March 17 2012,South,Third Round,1 Kentucky,87,8 Iowa State,71,,+16,Louisville KY
562,2012,March 17 2012,West,Third Round,4 Louisville,59,5 New Mexico,56,,+3,Portland OR
563,2012,March 17 2012,West,Third Round,3 Marquette,62,6 Murray State,53,,+9,Louisville KY
564,2012,March 17 2012,East,Third Round,2 Ohio State,73,7 Gonzaga,66,,+7,Pittsburgh PA
565,2012,March 17 2012,East,Third Round,1 Syracuse,75,8 Kansas State,59,,+16,Pittsburgh PA
566,2012,March 17 2012,East,Third Round,4 Wisconsin,60,5 Vanderbilt,57,,+3,Albuquerque NM
567,2012,March 16 2012,East,Second Round,6 Cincinnati,65,11 Texas,59,,+6,Nashville TN
568,2012,March 16 2012,Midwest,Second Round,8 Creighton,58,9 Alabama,57,,+1,Greensboro NC
569,2012,March 16 2012,West,Second Round,7 Florida,71,10 Virginia,45,,+26,Omaha NE
570,2012,March 16 2012,East,Second Round,3 Florida State,66,14 St. Bonaventure,63,,+3,Nashville TN
571,2012,March 16 2012,Midwest,Second Round,3 Georgetown,74,14 Belmont,59,,+15,Columbus OH
572,2012,March 16 2012,Midwest,Second Round,2 Kansas,65,15 Detroit,50,,+15,Omaha NE
573,2012,March 16 2012,South,Second Round,15 Lehigh,75,2 Duke,70,,+5,Greensboro NC
574,2012,March 16 2012,West,Second Round,1 Michigan State,89,16 LIU,67,,+22,Columbus OH
575,2012,March 16 2012,West,Second Round,15 Norfolk State,86,2 Missouri,84,,+2,Omaha NE
576,2012,March 16 2012,Midwest,Second Round,1 UNC,77,16 Vermont,58,,+19,Greensboro NC
577,2012,March 16 2012,Midwest,Second Round,11 NC State,79,6 San Diego State,65,,+14,Columbus OH
578,2012,March 16 2012,Midwest,Second Round,13 Ohio,65,4 Michigan,60,,+5,Nashville TN
579,2012,March 16 2012,Midwest,Second Round,10 Purdue,72,7 Saint Mary's,69,,+3,Omaha NE
580,2012,March 16 2012,West,Second Round,9 Saint Louis,61,8 Memphis,54,,+7,Columbus OH
581,2012,March 16 2012,Midwest,Second Round,12 South Florida,58,5 Temple,44,,+14,Nashville TN
582,2012,March 16 2012,South,Second Round,10 Xavier,67,7 Notre Dame,63,,+4,Greensboro NC
583,2012,March 15 2012,South,Second Round,3 Baylor,68,14 South Dakota State,60,,+8,Albuquerque NM
584,2012,March 15 2012,South,Second Round,11 Colorado,68,6 UNLV,64,,+4,Albuquerque NM
585,2012,March 15 2012,East,Second Round,7 Gonzaga,77,10 West Virginia,54,,+23,Pittsburgh PA
586,2012,March 15 2012,South,Second Round,4 Indiana,79,13 New Mexico State,66,,+13,Portland OR
587,2012,March 15 2012,South,Second Round,8 Iowa State,77,9 UConn,64,,+13,Louisville KY
588,2012,March 15 2012,East,Second Round,8 Kansas State,70,9 Southern Miss,64,,+6,Pittsburgh PA
589,2012,March 15 2012,South,Second Round,1 Kentucky,81,16 Western Kentucky,66,,+15,Louisville KY
590,2012,March 15 2012,West,Second Round,4 Louisville,69,13 Davidson,62,,+7,Portland OR
591,2012,March 15 2012,West,Second Round,3 Marquette,88,14 BYU,68,,+20,Louisville KY
592,2012,March 15 2012,West,Second Round,6 Murray State,58,11 Colorado State,41,,+17,Louisville KY
593,2012,March 15 2012,West,Second Round,5 New Mexico,75,12 Long Beach State,68,,+7,Portland OR
594,2012,March 15 2012,East,Second Round,2 Ohio State,78,15 Loyola (MD),59,,+19,Pittsburgh PA
595,2012,March 15 2012,East,Second Round,1 Syracuse,72,16 UNC Asheville,65,,+7,Pittsburgh PA
596,2012,March 15 2012,East,Second Round,5 Vanderbilt,79,12 Harvard,70,,+9,Albuquerque NM
597,2012,March 15 2012,South,Second Round,12 VCU,62,5 Wichita State,59,,+3,Portland OR
598,2012,March 15 2012,East,Second Round,4 Wisconsin,73,13 Montana,49,,+24,Albuquerque NM
599,2012,March 14 2012,Midwest,First Round,12 South Florida,65,12 California,54,,+11,Dayton OH
600,2012,March 14 2012,Midwest,First Round,16 Vermont,71,16 Lamar,59,,+12,Dayton OH
601,2012,March 13 2012,West,First Round,14 BYU,78,14 Iona,72,,+6,Dayton OH
602,2012,March 13 2012,South,First Round,16 Western Kentucky,59,16 Mississippi Valley State,58,,+1,Dayton OH
603,2011,April 4 2011,National,National Final,3 UConn,53,8 Butler,41,,+12,Houston TX
604,2011,April 2 2011,National,National Semifinal,8 Butler,70,11 VCU,62,,+8,Houston TX
605,2011,April 2 2011,National,National Semifinal,3 UConn,56,4 Kentucky,55,,+1,Houston TX
606,2011,March 27 2011,East,Regional Final,4 Kentucky,76,2 UNC,69,,+7,Newark NJ
607,2011,March 27 2011,Southwest,Regional Final,11 VCU,71,1 Kansas,61,,+10,San Antonio TX
608,2011,March 26 2011,Southeast,Regional Final,8 Butler,74,2 Florida,71,OT,+3,New Orleans LA
609,2011,March 26 2011,West,Regional Final,3 UConn,65,5 Arizona,63,,+2,Anaheim CA
610,2011,March 25 2011,Southwest,Regional Semifinal,1 Kansas,77,12 Richmond,57,,+20,San Antonio TX
611,2011,March 25 2011,East,Regional Semifinal,4 Kentucky,62,1 Ohio State,60,,+2,Newark NJ
612,2011,March 25 2011,East,Regional Semifinal,2 UNC,81,11 Marquette,63,,+18,Newark NJ
613,2011,March 25 2011,Southwest,Regional Semifinal,11 VCU,72,10 Florida State,71,OT,+1,San Antonio TX
614,2011,March 24 2011,West,Regional Semifinal,5 Arizona,93,1 Duke,77,,+16,Anaheim CA
615,2011,March 24 2011,Southeast,Regional Semifinal,8 Butler,61,4 Wisconsin,54,,+7,New Orleans LA
616,2011,March 24 2011,West,Regional Semifinal,3 UConn,74,2 San Diego State,67,,+7,Anaheim CA
617,2011,March 24 2011,Southeast,Regional Semifinal,2 Florida,83,3 BYU,74,OT,+9,New Orleans LA
618,2011,March 20 2011,West,Third Round,5 Arizona,70,4 Texas,69,,+1,Tulsa OK
619,2011,March 20 2011,West,Third Round,1 Duke,73,8 Michigan,71,,+2,Charlotte NC
620,2011,March 20 2011,Southwest,Third Round,10 Florida State,71,2 Notre Dame,57,,+14,Chicago IL
621,2011,March 20 2011,Southwest,Third Round,1 Kansas,73,9 Illinois,59,,+14,Tulsa OK
622,2011,March 20 2011,East,Third Round,11 Marquette,66,3 Syracuse,62,,+4,Cleveland OH
623,2011,March 20 2011,East,Third Round,2 UNC,86,7 Washington,83,,+3,Charlotte NC
624,2011,March 20 2011,East,Third Round,1 Ohio State,98,8 George Mason,66,,+32,Cleveland OH
625,2011,March 20 2011,Southwest,Third Round,11 VCU,94,3 Purdue,76,,+18,Chicago IL
626,2011,March 19 2011,Southeast,Third Round,3 BYU,89,11 Gonzaga,67,,+22,Denver CO
627,2011,March 19 2011,Southeast,Third Round,8 Butler,71,1 Pitt,70,,+1,Washington DC
628,2011,March 19 2011,West,Third Round,3 UConn,69,6 Cincinnati,58,,+11,Washington DC
629,2011,March 19 2011,Southeast,Third Round,2 Florida,73,7 UCLA,65,,+8,Tampa FL
630,2011,March 19 2011,East,Third Round,4 Kentucky,71,5 West Virginia,63,,+8,Tampa FL
631,2011,March 19 2011,Southwest,Third Round,12 Richmond,65,13 Morehead State,48,,+17,Denver CO
632,2011,March 19 2011,West,Third Round,2 San Diego State,71,7 Temple,64,2OT,+7,Tucson AZ
633,2011,March 19 2011,Southeast,Third Round,4 Wisconsin,70,5 Kansas State,65,,+5,Tucson AZ
634,2011,March 18 2011,West,Second Round,5 Arizona,77,12 Memphis,75,,+2,Tulsa OK
635,2011,March 18 2011,West,Second Round,1 Duke,87,16 Hampton,45,,+42,Charlotte NC
636,2011,March 18 2011,Southwest,Second Round,10 Florida State,57,7 Texas A&M,50,,+7,Chicago IL
637,2011,March 18 2011,East,Second Round,8 George Mason,61,9 Villanova,57,,+4,Cleveland OH
638,2011,March 18 2011,Southwest,Second Round,9 Illinois,73,8 UNLV,62,,+11,Tulsa OK
639,2011,March 18 2011,Southwest,Second Round,1 Kansas,72,16 Boston University,53,,+19,Tulsa OK
640,2011,March 18 2011,East,Second Round,11 Marquette,66,6 Xavier,55,,+11,Cleveland OH
641,2011,March 18 2011,West,Second Round,8 Michigan,75,9 Tennessee,45,,+30,Charlotte NC
642,2011,March 18 2011,East,Second Round,2 UNC,102,15 LIU,87,,+15,Charlotte NC
643,2011,March 18 2011,Southwest,Second Round,2 Notre Dame,69,15 Akron,56,,+13,Chicago IL
644,2011,March 18 2011,East,Second Round,1 Ohio State,75,16 UTSA,46,,+29,Cleveland OH
645,2011,March 18 2011,Southwest,Second Round,3 Purdue,65,14 St. Peter's,43,,+22,Chicago IL
646,2011,March 18 2011,East,Second Round,3 Syracuse,77,14 Indiana State,60,,+17,Cleveland OH
647,2011,March 18 2011,West,Second Round,4 Texas,85,13 Oakland,81,,+4,Tulsa OK
648,2011,March 18 2011,Southwest,Second Round,11 VCU,74,6 Georgetown,56,,+18,Chicago IL
649,2011,March 18 2011,East,Second Round,7 Washington,68,10 Georgia,65,,+3,Charlotte NC
650,2011,March 17 2011,Southeast,Second Round,3 BYU,74,14 Wofford,66,,+8,Denver CO
651,2011,March 17 2011,Southeast,Second Round,8 Butler,60,9 Old Dominion,58,,+2,Washington DC
652,2011,March 17 2011,West,Second Round,6 Cincinnati,78,11 Missouri,63,,+15,Washington DC
653,2011,March 17 2011,West,Second Round,3 UConn,81,14 Bucknell,52,,+29,Washington DC
654,2011,March 17 2011,Southeast,Second Round,2 Florida,79,15 UCSB,51,,+28,Tampa FL
655,2011,March 17 2011,Southeast,Second Round,11 Gonzaga,86,6 St. John's (NY),71,,+15,Denver CO
656,2011,March 17 2011,Southeast,Second Round,5 Kansas State,73,12 Utah State,68,,+5,Tucson AZ
657,2011,March 17 2011,East,Second Round,4 Kentucky,59,13 Princeton,57,,+2,Tampa FL
658,2011,March 17 2011,Southwest,Second Round,13 Morehead State,62,4 Louisville,61,,+1,Denver CO
659,2011,March 17 2011,Southeast,Second Round,1 Pitt,74,16 UNC Asheville,51,,+23,Washington DC
660,2011,March 17 2011,Southwest,Second Round,12 Richmond,69,5 Vanderbilt,66,,+3,Denver CO
661,2011,March 17 2011,West,Second Round,2 San Diego State,68,15 Northern Colorado,50,,+18,Tucson AZ
662,2011,March 17 2011,West,Second Round,7 Temple,66,10 Penn State,64,,+2,Tucson AZ
663,2011,March 17 2011,Southeast,Second Round,7 UCLA,78,10 Michigan State,76,,+2,Tampa FL
664,2011,March 17 2011,East,Second Round,5 West Virginia,84,12 Clemson,76,,+8,Tampa FL
665,2011,March 17 2011,Southeast,Second Round,4 Wisconsin,72,13 Belmont,58,,+14,Tucson AZ
666,2011,March 16 2011,East,First Round,16 UTSA,70,16 Alabama State,61,,+9,Dayton OH
667,2011,March 16 2011,Southwest,First Round,11 VCU,59,11 USC,46,,+13,Dayton OH
668,2011,March 15 2011,East,First Round,12 Clemson,70,12 Alabama-Birmingham,52,,+18,Dayton OH
669,2011,March 15 2011,Southeast,First Round,16 UNC Asheville,81,16 Little Rock,77,OT,+4,Dayton OH
670,2010,April 5 2010,National,National Final,1 Duke,61,5 Butler,59,,+2,Indianapolis IN
671,2010,April 3 2010,National,National Semifinal,5 Butler,52,5 Michigan State,50,,+2,Indianapolis IN
672,2010,April 3 2010,National,National Semifinal,1 Duke,78,2 West Virginia,57,,+21,Indianapolis IN
673,2010,March 28 2010,South,Regional Final,1 Duke,78,3 Baylor,71,,+7,Houston TX
674,2010,March 28 2010,Midwest,Regional Final,5 Michigan State,70,6 Tennessee,69,,+1,St. Louis MO
675,2010,March 27 2010,West,Regional Final,5 Butler,63,2 Kansas State,56,,+7,Salt Lake City UT
676,2010,March 27 2010,East,Regional Final,2 West Virginia,73,1 Kentucky,66,,+7,Syracuse NY
677,2010,March 26 2010,South,Regional Semifinal,3 Baylor,72,10 Saint Mary's,49,,+23,Houston TX
678,2010,March 26 2010,South,Regional Semifinal,1 Duke,70,4 Purdue,57,,+13,Houston TX
679,2010,March 26 2010,Midwest,Regional Semifinal,5 Michigan State,59,9 Northern Iowa,52,,+7,St. Louis MO
680,2010,March 26 2010,Midwest,Regional Semifinal,6 Tennessee,76,2 Ohio State,73,,+3,St. Louis MO
681,2010,March 25 2010,West,Regional Semifinal,5 Butler,63,1 Syracuse,59,,+4,Salt Lake City UT
682,2010,March 25 2010,West,Regional Semifinal,2 Kansas State,101,6 Xavier,96,2OT,+5,Salt Lake City UT
683,2010,March 25 2010,East,Regional Semifinal,1 Kentucky,62,12 Cornell,45,,+17,Syracuse NY
684,2010,March 25 2010,East,Regional Semifinal,2 West Virginia,69,11 Washington,56,,+13,Syracuse NY
685,2010,March 21 2010,East,Second Round,12 Cornell,87,4 Wisconsin,69,,+18,Jacksonville FL
686,2010,March 21 2010,South,Second Round,1 Duke,68,8 California,53,,+15,Jacksonville FL
687,2010,March 21 2010,Midwest,Second Round,5 Michigan State,85,4 Maryland,83,,+2,Spokane WA
688,2010,March 21 2010,Midwest,Second Round,2 Ohio State,75,10 Georgia Tech,66,,+9,Milwaukee WI
689,2010,March 21 2010,South,Second Round,4 Purdue,63,5 Texas A&M,61,OT,+2,Spokane WA
690,2010,March 21 2010,West,Second Round,1 Syracuse,87,8 Gonzaga,65,,+22,Buffalo NY
691,2010,March 21 2010,East,Second Round,2 West Virginia,68,10 Missouri,59,,+9,Buffalo NY
692,2010,March 21 2010,West,Second Round,6 Xavier,71,3 Pitt,68,,+3,Milwaukee WI
693,2010,March 20 2010,South,Second Round,3 Baylor,76,11 Old Dominion,68,,+8,New Orleans LA
694,2010,March 20 2010,West,Second Round,5 Butler,54,13 Murray State,52,,+2,San Jose CA
695,2010,March 20 2010,West,Second Round,2 Kansas State,84,7 BYU,72,2OT,+12,Oklahoma City OK
696,2010,March 20 2010,East,Second Round,1 Kentucky,90,9 Wake Forest,60,,+30,New Orleans LA
697,2010,March 20 2010,Midwest,Second Round,9 Northern Iowa,69,1 Kansas,67,,+2,Oklahoma City OK
698,2010,March 20 2010,South,Second Round,10 Saint Mary's,75,2 Villanova,68,,+7,Providence RI
699,2010,March 20 2010,Midwest,Second Round,6 Tennessee,83,14 Ohio,68,,+15,Providence RI
700,2010,March 20 2010,East,Second Round,11 Washington,82,3 New Mexico,64,,+18,San Jose CA
701,2010,March 19 2010,South,First Round,8 California,77,9 Louisville,62,,+15,Jacksonville FL
702,2010,March 19 2010,East,First Round,12 Cornell,78,5 Temple,65,,+13,Jacksonville FL
703,2010,March 19 2010,South,First Round,1 Duke,73,16 Arkansas-Pine Bluff,44,,+29,Jacksonville FL
704,2010,March 19 2010,Midwest,First Round,10 Georgia Tech,64,7 Oklahoma State,59,,+5,Milwaukee WI
705,2010,March 19 2010,West,First Round,8 Gonzaga,67,9 Florida State,60,,+7,Buffalo NY
706,2010,March 19 2010,Midwest,First Round,4 Maryland,89,13 Houston,77,,+12,Spokane WA
707,2010,March 19 2010,Midwest,First Round,5 Michigan State,70,12 New Mexico State,67,,+3,Spokane WA
708,2010,March 19 2010,East,First Round,10 Missouri,86,7 Clemson,78,,+8,Buffalo NY
709,2010,March 19 2010,Midwest,First Round,2 Ohio State,68,15 UCSB,51,,+17,Milwaukee WI
710,2010,March 19 2010,West,First Round,3 Pitt,89,14 Oakland,66,,+23,Milwaukee WI
711,2010,March 19 2010,South,First Round,4 Purdue,72,13 Siena,64,,+8,Spokane WA
712,2010,March 19 2010,West,First Round,1 Syracuse,79,16 Vermont,56,,+23,Buffalo NY
713,2010,March 19 2010,South,First Round,5 Texas A&M,69,12 Utah State,53,,+16,Spokane WA
714,2010,March 19 2010,East,First Round,2 West Virginia,77,15 Morgan State,50,,+27,Buffalo NY
715,2010,March 19 2010,East,First Round,4 Wisconsin,53,13 Wofford,49,,+4,Jacksonville FL
716,2010,March 19 2010,West,First Round,6 Xavier,65,11 Minnesota,54,,+11,Milwaukee WI
717,2010,March 18 2010,South,First Round,3 Baylor,68,14 Sam Houston State,59,,+9,New Orleans LA
718,2010,March 18 2010,West,First Round,7 BYU,99,10 Florida,92,2OT,+7,Oklahoma City OK
719,2010,March 18 2010,West,First Round,5 Butler,77,12 UTEP,59,,+18,San Jose CA
720,2010,March 18 2010,Midwest,First Round,1 Kansas,90,16 Lehigh,74,,+16,Oklahoma City OK
721,2010,March 18 2010,West,First Round,2 Kansas State,82,15 North Texas,62,,+20,Oklahoma City OK
722,2010,March 18 2010,East,First Round,1 Kentucky,100,16 ETSU,71,,+29,New Orleans LA
723,2010,March 18 2010,West,First Round,13 Murray State,66,4 Vanderbilt,65,,+1,San Jose CA
724,2010,March 18 2010,East,First Round,3 New Mexico,62,14 Montana,57,,+5,San Jose CA
725,2010,March 18 2010,Midwest,First Round,9 Northern Iowa,69,8 UNLV,66,,+3,Oklahoma City OK
726,2010,March 18 2010,Midwest,First Round,14 Ohio,97,3 Georgetown,83,,+14,Providence RI
727,2010,March 18 2010,South,First Round,11 Old Dominion,51,6 Notre Dame,50,,+1,New Orleans LA
728,2010,March 18 2010,South,First Round,10 Saint Mary's,80,7 Richmond,71,,+9,Providence RI
729,2010,March 18 2010,Midwest,First Round,6 Tennessee,62,11 San Diego State,59,,+3,Providence RI
730,2010,March 18 2010,South,First Round,2 Villanova,73,15 Robert Morris,70,OT,+3,Providence RI
731,2010,March 18 2010,East,First Round,9 Wake Forest,81,8 Texas,80,OT,+1,New Orleans LA
732,2010,March 18 2010,East,First Round,11 Washington,80,6 Marquette,78,,+2,San Jose CA
733,2010,March 16 2010,South,Opening Round,16 Arkansas-Pine Bluff,61,16 Winthrop,44,,+17,Dayton OH
